,J1,J2,locations
0,0.6704602731251079,0.6045171054025208,[39 22 35 29 36 36 34 34 37 36]
1,0.8801487588878539,0.42880598877764153,[39 22 59 21 34 31 36 36 36 39]
2,0.8835868655418972,0.4284898085250216,[39 22 36 36 34 31 60 23 36 39]
3,0.8835868655418972,0.4284898085250216,[39 22 60 23 34 31 36 36 36 39]
4,0.8835868655418972,0.4284898085250216,[39 22 36 36 34 31 60 23 36 39]
5,0.8835868655418972,0.4284898085250216,[39 22 60 23 34 31 36 36 36 39]
6,0.8835868655418972,0.4284898085250216,[39 22 36 36 34 31 60 23 36 39]
7,0.8835868655418972,0.4284898085250216,[39 22 36 36 34 31 60 23 36 39]
8,0.8835868655418972,0.4284898085250216,[39 22 60 23 34 31 36 36 36 39]
9,0.9040374134628554,0.23743958015210712,[39 22 60 19 34 31 56 49 36 39]
10,0.9037234462110608,0.23721221359851735,[39 22 54 43 34 31 60 19 36 39]
