,J1,J2,locations
0,0.5823270266049989,0.829553763205707,[39 22 37 36 36 37 37 37 37 35]
1,0.9185717263345579,0.34716846677974356,[40 29 36 36 34 31  9 38 56 49]
2,0.9159912979032434,0.3706328748749486,[39 29 36 36 56 49 34 34  6 40]
3,0.9195628527943289,0.346934786349704,[ 6 42 56 49 34 31 36 36 40 29]
4,0.9112020421306765,0.40793330083497675,[60 23 36 36 34 31 40 26 36 40]
5,0.9195628527943289,0.346934786349704,[36 36  6 42 34 31 40 29 56 49]
6,0.9153440555099638,0.37707107140804985,[39 29  9 38 36 36 56 49 36 39]
7,0.9186994474976347,0.3468084207138725,[40 29  5 40 34 31 36 36 56 49]
8,0.9122178227703818,0.36199000414229426,[60 19 36 36 40 26  9 38 36 39]
9,0.911428834965499,0.316489584324954,[39 22 36 36 60 23  6 24 37 40]
10,0.9334135461128098,0.19762481562556147,[ 6 24 54 50 39 32 60 18 36 39]
