,J1,J2,locations
0,0.7027973579616417,0.7890341014587651,[36 36 37 36 34 31 34 34 37 35]
1,0.9008931269240247,0.4536158408289134,[54 50 36 36 34 31 40 29 36 39]
2,0.9016553360386922,0.4529452560278743,[40 29 55 48 34 31 36 36 36 39]
3,0.9008931269240247,0.4536158408289134,[54 50 36 36 34 31 40 29 36 39]
4,0.9008931269240247,0.4536158408289134,[54 50 36 36 34 31 40 29 36 39]
5,0.903131779070733,0.4529220025237549,[56 49 36 36 34 31 40 29 36 39]
6,0.903131779070733,0.4529220025237549,[36 36 56 49 34 31 40 29 36 39]
7,0.9008931269240247,0.4536158408289134,[40 29 36 36 34 31 54 50 36 39]
8,0.903131779070733,0.4529220025237549,[36 36 40 29 34 31 56 49 36 39]
9,0.903131779070733,0.4529220025237549,[36 36 40 29 34 31 56 49 36 39]
10,0.9174188284018036,0.25062002755847773,[56 49 60 19 34 31 40 26 36 39]
