,J1,J2,aptitudes,locations
0,0.4618976352126503,1.0,-1.0,[37 35 36 37 36 36 37 37 37 36]
1,0.9290958728009825,0.32260745305158656,-0.9949105853532975,[36 36  5 18 36 41 56 49 39 29]
2,0.9275561797120705,0.3229765749589094,-0.9912926838048108,[56 49 36 41  6 24 39 29 36 36]
3,0.9262569856524878,0.3232653054100464,-0.9875568878018323,[ 4 38 39 32 40 26 36 36 56 49]
4,0.9272586794793308,0.32020176277453954,-0.9841513499701807,[60 19 38 40 40 26 36 36  5 40]
5,0.9303542698994007,0.32395914371520484,-0.98136945566952,[39 32 54 50 40 26  4 38 36 36]
6,0.9290958728009825,0.32260745305158656,-0.9775909241553198,[39 29 36 36 36 41  5 18 56 49]
7,0.9272586794793308,0.32020176277453954,-0.9734839742531463,[60 19 36 36  5 40 38 40 40 26]
8,0.9221944470311133,0.39745611314831086,-0.9679024893681811,[55 48 36 36 35 31 40 26 36 41]
9,0.9267912951806965,0.33593589682412317,-0.9661620675074047,[60 18 36 36 39 32 37 41  4 18]
10,0.924200548585794,0.3974328596441915,-0.9612875330893436,[40 26 36 36 36 41 56 49 35 31]
11,0.9258162581140398,0.35460399649652385,-0.9584674748795239,[36 40 36 36  6 24 60 18 39 32]
12,0.9272586794793308,0.32020176277453954,-0.9557050147247558,[60 19  5 40 36 36 40 26 38 40]
13,0.9313807300061419,0.29007592758875167,-0.9548285556615047,[56 49 44 16 36 36  5 40 39 29]
14,0.9290958728009825,0.32260745305158656,-0.9498794662385557,[39 29 36 36 36 41  5 18 56 49]
15,0.9258991351563793,0.3284548662925523,-0.9438908042364915,[39 29 36 41  6 24 56 49 37 37]
16,0.924200548585794,0.3974328596441915,-0.9390353423872138,[40 26 36 36 36 41 56 49 35 31]
17,0.9266761207127892,0.3541941843070619,-0.9374308802448048,[36 40 60 18  4 18 36 36 39 32]
18,0.9275561797120705,0.3229765749589094,-0.9346380135001527,[36 41 56 49 39 29 36 36  6 24]
19,0.922202338080013,0.3495121042174001,-0.926010947055657,[ 6 24 36 36 59 21 36 40 39 31]
20,0.944601701338286,0.13401185662714551,-0.944601701338286,[54 50 60 19  4 18 39 32 34 40]
