,J1,J2,aptitudes,locations
0,0.6704602731251079,0.6045171054025208,-0.9992020459542087,[39 22 35 29 37 36 34 34 36 36]
1,0.8835868655418972,0.4284898085250216,-0.9926351349903432,[39 22 60 23 34 31 36 36 36 39]
2,0.8835868655418972,0.4284898085250216,-0.9868957523877936,[39 22 60 23 34 31 36 36 36 39]
3,0.8835868655418972,0.4284898085250216,-0.9811563697852437,[39 22 60 23 34 31 36 36 36 39]
4,0.8835868655418972,0.4284898085250216,-0.975416987182694,[39 22 60 23 34 31 36 36 36 39]
5,0.8835868655418972,0.4284898085250216,-0.9696776045801441,[39 22 36 36 34 31 60 23 36 39]
6,0.8835868655418972,0.4284898085250216,-0.9639382219775943,[39 22 36 36 34 31 60 23 36 39]
7,0.8835868655418972,0.4284898085250216,-0.9581988393750446,[39 22 36 36 34 31 60 23 36 39]
8,0.8835868655418972,0.4284898085250216,-0.9524594567724947,[39 22 36 36 34 31 60 23 36 39]
9,0.8801487588878539,0.42880598877764153,-0.9451729261756255,[39 22 59 21 34 31 36 36 36 39]
10,0.8835868655418972,0.4284898085250216,-0.9409806915673952,[39 22 60 23 34 31 36 36 36 39]
11,0.8835868655418972,0.4284898085250216,-0.9352413089648454,[39 22 36 36 34 31 60 23 36 39]
12,0.8835868655418972,0.4284898085250216,-0.9295019263622956,[39 22 60 23 34 31 36 36 36 39]
13,0.8835868655418972,0.4284898085250216,-0.9237625437597458,[39 22 36 36 34 31 60 23 36 39]
14,0.8835868655418972,0.4284898085250216,-0.9180231611571961,[39 22 36 36 34 31 60 23 36 39]
15,0.8835868655418972,0.4284898085250216,-0.9122837785546463,[39 22 60 23 34 31 36 36 36 39]
16,0.8835868655418972,0.4284898085250216,-0.9065443959520965,[39 22 36 36 34 31 60 23 36 39]
17,0.8835868655418972,0.4284898085250216,-0.9008050133495467,[39 22 36 36 34 31 60 23 36 39]
18,0.8835868655418972,0.4284898085250216,-0.8950656307469969,[39 22 60 23 34 31 36 36 36 39]
19,0.9037234462110608,0.23721221359851735,-0.8988161327495082,[39 22 54 43 34 31 60 19 36 39]
20,0.9040374134628554,0.23743958015210712,-0.9040374134628554,[39 22 56 49 34 31 60 19 36 39]
